"Order date","Sold-to Party","Ship-to Party","Customer PO No","Sales Order No","Item","Material No","Material Description","Sales UoM","Order Quantity","Delivery Creation Qty","Order Value","Plant","Item Barcode","Order status"
"20230706","2002921582","2002921587","1355764361","115329653","10","80682870","##############64#","CS","103","103","35,072.53","C816","6.90315E+12","50"
"20230706","2002921582","2002921589","1355764042","115329668","20","80682870","##############64#","CS","575","575","195,793.25","A888","6.90315E+12","30"
"20230706","2002921582","2002921590","1355765255","115329342","10","80682870","##############64#","CS","91","91","30,986.41","D191","6.90315E+12","30"
"20230706","2002921582","2003237263","1355765800","115329448","20","80682870","##############64#","CS","86","86","29,283.86","C816","6.90315E+12","50"
"20230706","2002921577","2002921598","1355765711","115329239","20","80682870","##############64#","CS","7","7","2,383.57","A673","6.90315E+12","50"
"20230706","2002921577","2002942308","1355765962","115329498","20","80682870","##############64#","CS","46","46","15,663.46","D901","6.90315E+12","30"
"20230706","2002921600","2002921601","1355765068","115329487","20","80682871","###############76#","CS","34","34","11,577.34","A680","6.90315E+12","50"
"20230706","2002921600","2003190193","1355764997","115329531","10","80682871","###############76#","CS","11","11","3,745.61","A680","6.90315E+12","30"
"20230706","2002921611","2002941153","1355764248","115329658","10","80682871","###############76#","CS","1","1","340.5","A716","6.90315E+12","30"
"20230706","2002920557","2002921482","1355766150","115329304","10","80682871","###############76#","CS","16","16","5,448.16","A672","6.90315E+12","30"
"20230706","2002920557","2003213268","1355764811","115329333","30","80682871","###############76#","CS","8","8","2,724.08","A672","6.90315E+12","30"
"20230706","2002920557","2003222613","1355765580","115329320","10","80682871","###############76#","CS","7","7","2,383.57","A672","6.90315E+12","30"
"20230706","2002921582","2002921587","1355764351","115329566","20","80682871","###############76#","CS","105","105","35,753.55","C816","6.90315E+12","50"
"20230706","2002921582","2002921589","1355764061","115329611","30","80682871","###############76#","CS","260","260","88,532.60","C816","6.90315E+12","50"
"20230706","2002921582","2002921590","1355765253","115329472","10","80682871","###############76#","CS","20","20","6,810.20","D191","6.90315E+12","30"
"20230706","2002921582","2003237263","1355765807","115329435","10","80682871","###############76#","CS","43","43","14,641.93","C816","6.90315E+12","50"
"20230706","2002921577","2002921598","1355765707","115329223","20","80682871","###############76#","CS","32","32","10,896.32","A673","6.90315E+12","50"
"20230706","2002921577","2002921598","1355778439","115329530","20","80682871","###############76#","CS","60","60","20,430.60","A673","6.90315E+12","40"
"20230706","2002921577","2002940980","1355763898","115329303","30","80682871","###############76#","CS","3","3","1,021.53","A673","6.90315E+12","30"
"20230706","2002921577","2002942308","1355765982","115329495","10","80682871","###############76#","CS","107","107","36,434.57","A673","6.90315E+12","50"
"20230706","2002921600","2002921601","1355765057","115329560","30","80682898","##############54#","CS","109","109","37,115.59","A680","6.90315E+12","50"
"20230706","2002921600","2003190193","1355764999","115329539","20","80682898","##############54#","CS","70","70","23,835.70","A680","6.90315E+12","30"
"20230706","2002921607","2002921675","1355763803","115329397","20","80682898","##############54#","CS","9","9","3,064.59","A715","6.90315E+12","30"
"20230706","2002921607","2002921675","1355780268","115330042","20","80682898","##############54#","CS","8","8","2,724.08","A715","6.90315E+12","30"
"20230706","2002921607","2002930241","1355764155","115329434","20","80682898","##############54#","CS","13","13","4,426.63","A715","6.90315E+12","50"
"20230706","2002921611","2002941153","1355764262","115329642","10","80682898","##############54#","CS","40","40","13,620.40","A716","6.90315E+12","30"
"20230706","2002920557","2002921482","1355766150","115329304","30","80682898","##############54#","CS","54","54","18,387.54","D352","6.90315E+12","30"
"20230706","2002920557","2003213268","1355764799","115329343","30","80682898","##############54#","CS","25","25","8,512.75","A672","6.90315E+12","30"
"20230706","2002920557","2003222613","1355765580","115329320","20","80682898","##############54#","CS","46","46","15,663.46","D352","6.90315E+12","30"
