VBELN,POSNR,MATNR,KDMAT
0115347677,40,000000000080727848,80727848
0115347677,50,000000000080686861,80686861
0115347677,60,000000000080686766,80686766
0115347677,70,000000000082305681,82305681
0115347677,80,000000000080707798,80707798
0115347677,81,000000000080707798,80707798
0115347677,90,000000000080686862,80686862
0115347677,100,000000000080686841,80686841
0115347677,110,000000000082313839,82313839
0115347677,111,000000000082313839,82313839
0115347677,120,000000000082275300,82275300
0115347677,130,000000000080686833,80686833
0115347677,140,000000000080686831,80686831
0115347677,150,000000000080727459,80727459
0115347677,160,000000000080727458,80727458
0115347690,10,000000000080714240,80714240
0115347690,11,000000000080714240,80714240
0115347690,20,000000000080718535,80718535
0115347690,30,000000000080754034,80754034
0115347690,40,000000000080725845,80725845
0115347690,41,000000000080725845,80725845
0115347690,50,000000000080726352,80726352
0115347690,51,000000000080726352,80726352
0115347690,60,000000000080713973,80713973
0115347690,70,000000000080713975,80713975
0115347690,80,000000000080713976,80713976
0115347690,90,000000000080745943,80745943
0115347690,100,000000000080745946,80745946
0115347690,110,000000000080745944,80745944
0115347690,120,000000000080751313,80751313
0115347690,130,000000000080751314,80751314
0115347690,140,000000000080751315,80751315
0115347690,150,000000000080751780,80751780
0115347690,160,000000000080751770,80751770
0115347690,170,000000000080725127,80725127
0115347690,180,000000000080725125,80725125
0115347690,190,000000000080741548,80741548
0115347690,200,000000000080741553,80741553
0115347690,210,000000000080721760,80721760
0115347690,220,000000000082325519,82325519
0115347690,221,000000000082325519,82325519
0115347690,230,000000000082325522,82325522
0115347690,231,000000000082325522,82325522
0115347690,240,000000000080745853,80745853
0115347690,250,000000000080721761,80721761
0115347690,260,000000000080742026,80742026
0115347690,270,000000000082325565,82325565
0115347690,271,000000000082325565,82325565
0115347690,280,000000000080725623,80725623
0115347690,290,000000000080725624,80725624
0115347690,300,000000000080725625,80725625
0115347690,310,000000000080725626,80725626
0115347690,320,000000000080738483,80738483
0115347690,330,000000000080745954,80745954
0115347690,340,000000000080752309,80752309
0115347690,350,000000000080745952,80745952
0115347690,360,000000000080740618,80740618
0115347690,370,000000000080740760,80740760
0115347690,380,000000000080752307,80752307
0115347690,390,000000000080752312,80752312
0115347690,400,000000000080703933,80703933
0115347690,410,000000000080703934,80703934
0115347690,420,000000000080701282,80701282
0115347690,430,000000000080701283,80701283
0115347690,440,000000000080701425,80701425
0115347690,450,000000000080701426,80701426
0115347690,460,000000000080751536,80751536
0115347690,470,000000000080717307,80717307
0115347690,480,000000000080693827,80693827
0115347690,481,000000000080693827,80693827
0115347690,490,000000000080721963,80721963
0115347690,500,000000000080693844,80693844
0115347690,501,000000000080693844,80693844
0115347690,510,000000000080693850,80693850
0115347690,511,000000000080693850,80693850
0115347690,520,000000000080694111,80694111
0115347690,521,000000000080694111,80694111
0115347690,530,000000000080721965,80721965
0115347690,540,000000000080694119,80694119
0115347690,541,000000000080694119,80694119
0115347690,550,000000000080717297,80717297
0115347690,560,000000000080764967,80764967
0115347690,570,000000000080764965,80764965
0115347690,580,000000000080764966,80764966
0115347690,590,000000000080703935,80703935
0115347690,600,000000000080736221,80736221
0115347690,610,000000000080721990,80721990
0115347690,620,000000000080717308,80717308
0115347690,630,000000000082324239,82324239
0115347690,631,000000000082324239,82324239
0115347690,640,000000000080695956,80695956
0115347690,650,000000000080695960,80695960
0115347690,660,000000000080695959,80695959
0115347690,670,000000000080693628,80693628
0115347690,680,000000000080752457,80752457
0115347690,690,000000000083739445,83739445
0115347690,691,000000000083739445,83739445
0115347690,700,000000000080735139,80735139
0115347690,710,000000000080735140,80735140
0115347690,720,000000000080698212,80698212
0115347690,730,000000000080698858,80698858
0115347690,740,000000000082276751,82276751
0115347690,750,000000000082276748,82276748
0115347690,760,000000000082276750,82276750
0115347690,770,000000000082297058,82297058
0115347690,780,000000000080707789,80707789
0115347690,790,000000000082289665,82289665
0115347690,791,000000000082289665,82289665
0115347690,800,000000000082289667,82289667
0115347690,801,000000000082289667,82289667
0115347690,810,000000000082289668,82289668
0115347690,811,000000000082289668,82289668
0115347690,820,000000000082289666,82289666
0115347690,821,000000000082289666,82289666
0115347690,830,000000000082326936,82326936
0115347690,831,000000000082326936,82326936
0115347690,840,000000000082326900,82326900
0115347690,841,000000000082326900,82326900
0115347690,850,000000000082326899,82326899
0115347690,851,000000000082326899,82326899
0115347690,860,000000000080741469,80741469
0115347690,870,000000000080741463,80741463
0115347690,880,000000000080741470,80741470
0115347690,890,000000000082326898,82326898
0115347690,891,000000000082326898,82326898
0115347690,900,000000000080741458,80741458
0115347690,910,000000000080727511,80727511
0115347690,911,000000000080727511,80727511
0115347690,920,000000000082326949,82326949
0115347690,930,000000000082326891,82326891
0115347690,940,000000000080738838,80738838
0115347690,950,000000000080710509,80710509
0115347690,960,000000000080710502,80710502
0115347690,970,000000000080710499,80710499
0115347690,980,000000000080737744,80737744
0115347690,990,000000000080722535,80722535
0115347690,1000,000000000080708708,80708708
0115347690,1010,000000000080738394,80738394
0115347690,1020,000000000080691388,80691388
0115347690,1030,000000000080738611,80738611
0115347690,1040,000000000080691376,80691376
0115347690,1050,000000000080738610,80738610
0115347690,1060,000000000080691421,80691421
0115347690,1070,000000000080694650,80694650
0115347690,1080,000000000080691426,80691426
0115347690,1090,000000000080708723,80708723
0115347690,1100,000000000080739137,80739137
0115347690,1101,000000000080739137,80739137
0115347690,1110,000000000080739138,80739138
0115347690,1111,000000000080739138,80739138
0115347690,1120,000000000080739141,80739141
0115347690,1130,000000000080739140,80739140
0115347690,1140,000000000080738857,80738857
0115347690,1150,000000000080739139,80739139
0115347690,1151,000000000080739139,80739139
0115347690,1160,000000000080718079,80718079
0115347690,1170,000000000080738859,80738859
